PARAMETER;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;ANN
PS;1981;96.84;96.72;96.78;96.71;96.67;96.79;96.81;96.72;96.72;96.64;96.65;96.68;96.73
PS;1982;96.89;96.79;96.75;96.73;96.62;96.74;96.78;96.73;96.65;96.65;96.59;96.71;96.72
PS;1983;96.62;96.62;96.62;96.57;96.55;96.68;96.74;96.84;96.76;96.7;96.74;96.85;96.69
PS;1984;96.84;96.64;96.75;96.7;96.71;96.73;96.77;96.75;96.68;96.7;96.71;96.78;96.73
PS;1985;96.95;96.84;96.74;96.7;96.68;96.83;96.87;96.81;96.69;96.65;96.72;96.91;96.78
PS;1986;96.84;96.84;96.85;96.61;96.58;96.78;96.93;96.72;96.74;96.75;96.67;96.82;96.76
PS;1987;96.78;96.68;96.6;96.6;96.63;96.77;96.73;96.74;96.74;96.6;96.67;96.79;96.69
PS;1988;96.92;96.77;96.91;96.75;96.72;96.77;96.86;96.74;96.73;96.61;96.74;96.87;96.78
PS;1989;96.88;96.94;96.83;96.72;96.79;96.88;96.87;96.74;96.62;96.73;96.67;96.89;96.8
PS;1990;96.76;96.96;96.84;96.7;96.71;96.77;96.82;96.81;96.72;96.65;96.65;96.84;96.77
PS;1991;96.96;96.86;96.81;96.74;96.72;96.76;96.87;96.83;96.69;96.64;96.66;96.8;96.78
PS;1992;96.78;96.83;96.76;96.61;96.58;96.65;96.89;96.86;96.65;96.68;96.62;96.75;96.72
PS;1993;96.84;96.83;96.8;96.6;96.56;96.74;96.83;96.79;96.72;96.68;96.69;96.77;96.74
PS;1994;96.9;96.85;96.82;96.79;96.69;96.83;96.85;96.8;96.71;96.62;96.69;96.74;96.77
PS;1995;96.87;96.93;96.78;96.63;96.72;96.75;96.75;96.68;96.72;96.63;96.74;96.8;96.75
PS;1996;96.8;96.77;96.8;96.77;96.79;96.78;96.87;96.8;96.65;96.64;96.63;96.75;96.75
PS;1997;96.92;96.83;96.87;96.77;96.69;96.69;96.76;96.73;96.63;96.6;96.66;96.7;96.74
PS;1998;96.64;96.72;96.65;96.65;96.68;96.8;96.82;96.72;96.69;96.65;96.68;96.74;96.7
PS;1999;96.84;96.85;96.73;96.74;96.74;96.74;96.84;96.73;96.65;96.66;96.6;96.85;96.75
PS;2000;96.94;97.0;96.82;96.8;96.73;96.83;96.78;96.73;96.64;96.67;96.68;96.74;96.78
PS;2001;96.95;96.9;96.76;96.8;96.68;96.82;96.8;96.75;96.68;96.63;96.67;96.6;96.75
