gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3923218786	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:16	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.231664	-71.973266			16.5	1.5			2021-07-27T00:00:00	27	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			16			CC_BY_NC_4_0					2023-08-26T11:14:45.307Z		
3923218785	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:15	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.234498	-71.972019			18.0	1.0			2021-07-27T00:00:00	27	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			15			CC_BY_NC_4_0					2023-08-26T11:14:45.305Z		
3923218784	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:14	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	2	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229084	-71.974071			18.5	2.5			2021-07-26T00:00:00	26	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			14			CC_BY_NC_4_0					2023-08-26T11:14:45.302Z		
3923218783	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:13	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.231664	-71.973266			16.5	1.5			2021-07-27T00:00:00	27	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			13			CC_BY_NC_4_0					2023-08-26T11:14:45.299Z		
3923218782	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:12	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.23561	-71.971928			18.0	2.0			2021-07-27T00:00:00	27	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			12			CC_BY_NC_4_0					2023-08-26T11:14:45.296Z		
3923218781	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:11	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.232054	-71.971908			18.5	2.5			2021-07-27T00:00:00	27	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			11			CC_BY_NC_4_0					2023-08-26T11:14:45.293Z		
3923218780	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Aves:10	Animalia	Chordata	Aves	Passeriformes	Cardinalidae	Cardinalis	Cardinalis phoeniceus		SPECIES	Cardinalis phoeniceus Bonaparte, 1838	Cardinalis phoeniceus	Bonaparte, 1838	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.231664	-71.973266			16.5	1.5			2021-07-27T00:00:00	27	7	2021	2490404	2490404	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)			10			CC_BY_NC_4_0					2023-08-26T11:14:45.289Z		
3923218779	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Mammalia:15	Animalia	Chordata	Mammalia	Carnivora	Canidae	Cerdocyon	Cerdocyon thous		SPECIES	Cerdocyon thous (Linnaeus, 1766)	Cerdocyon thous	(Linnaeus, 1766)	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229416	-71.972681			21.0	0.0			2021-07-23T00:00:00	23	7	2021	2434584	2434584	MATERIAL_SAMPLE	Carbones del Cerrejón Limited (Cerrejón)			15			CC_BY_NC_4_0					2023-08-26T11:14:45.284Z		
3923218778	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Mammalia:16	Animalia	Chordata	Mammalia	Carnivora	Canidae	Cerdocyon	Cerdocyon thous		SPECIES	Cerdocyon thous (Linnaeus, 1766)	Cerdocyon thous	(Linnaeus, 1766)	CO	Orosito	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229751	-71.97427			18.0	0.0			2021-07-21T00:00:00	21	7	2021	2434584	2434584	MATERIAL_SAMPLE	Carbones del Cerrejón Limited (Cerrejón)			16			CC_BY_NC_4_0					2023-08-26T11:14:45.277Z		
3923218777	cf5bf349-8151-4437-9298-8dc285726fb7	Cerrejon:PuertoBolivar_2021-Mammalia:13	Animalia	Chordata	Mammalia	Carnivora	Canidae	Cerdocyon	Cerdocyon thous		SPECIES	Cerdocyon thous (Linnaeus, 1766)	Cerdocyon thous	(Linnaeus, 1766)	CO	Orosito	La Guajira	PRESENT	2	14fb9c57-68a5-4870-b434-5355df7a9c3c	12.229912	-71.972446			19.0	0.0			2021-07-21T00:00:00	21	7	2021	2434584	2434584	MATERIAL_SAMPLE	Carbones del Cerrejón Limited (Cerrejón)			13			CC_BY_NC_4_0					2023-08-26T11:14:45.270Z		
